Date,QQQ,TLT
2010-01-04,40.29079055786133,55.92865753173828
2010-01-05,40.29079055786133,56.289833068847656
2010-01-06,40.04776382446289,55.53631591796875
2010-01-07,40.07379150390625,55.62973403930664
2010-01-08,40.403621673583984,55.60480499267578
2010-01-11,40.238704681396484,55.29972457885742
2010-01-12,39.735294342041016,56.246238708496094
2010-01-13,40.23002624511719,55.59239196777344
2010-01-14,40.264739990234375,56.37080383300781
2010-01-15,39.796051025390625,56.71952819824219
2010-01-19,40.43833541870117,56.55765914916992
2010-01-20,39.856815338134766,57.13058853149414
2010-01-21,39.483585357666016,57.392112731933594
2010-01-22,38.32919692993164,57.292476654052734
2010-01-25,38.45938491821289,57.03093719482422
2010-01-26,38.49412155151367,57.04963302612305
2010-01-27,38.797889709472656,57.01847839355469
2010-01-28,37.79974365234375,56.987335205078125
2010-01-29,37.14008331298828,57.48548889160156
2010-02-01,37.54801559448242,56.96367645263672
2010-02-02,37.88653564453125,57.12617492675781
2010-02-03,38.09485626220703,56.46369552612305
2010-02-04,36.99252700805664,57.35737609863281
2010-02-05,37.304996490478516,57.482418060302734
2010-02-08,37.03593444824219,57.557342529296875
2010-02-09,37.417842864990234,56.98244094848633
2010-02-10,37.339725494384766,56.438716888427734
2010-02-11,37.90388870239258,56.13249969482422
2010-02-12,37.98199462890625,56.36374282836914
2010-02-16,38.46807098388672,56.469993591308594
2010-02-17,38.6850471496582,55.826316833496094
2010-02-18,38.92808532714844,55.601295471191406
2010-02-19,38.910736083984375,55.901275634765625
2010-02-22,38.83261489868164,55.670082092285156
2010-02-23,38.32919692993164,56.538700103759766
2010-02-24,38.71977615356445,56.67621994018555
2010-02-25,38.711090087890625,56.99493408203125
2010-02-26,38.8499755859375,57.28862380981445
2010-03-01,39.414146423339844,57.26362991333008
2010-03-02,39.53565979003906,57.18836975097656
2010-03-03,39.57905578613281,57.04416275024414
2010-03-04,39.709251403808594,57.3450813293457
2010-03-05,40.30814743041992,56.59275817871094
2010-03-08,40.386253356933594,56.29808044433594
2010-03-09,40.611934661865234,56.310630798339844
2010-03-10,40.941768646240234,56.16643142700195
2010-03-11,41.097991943359375,56.37334060668945
2010-03-12,41.10667037963867,56.72447967529297
2010-03-15,41.00252151489258,56.64920425415039
2010-03-16,41.26291275024414,57.10062026977539
2010-03-17,41.3757438659668,57.3450813293457
2010-03-18,41.514610290527344,57.156978607177734
2010-03-19,41.263519287109375,57.21343994140625
2010-03-22,41.63713455200195,57.2761116027832
2010-03-23,41.923866271972656,57.00654602050781
2010-03-24,41.7239990234375,55.965824127197266
2010-03-25,41.66320037841797,55.608497619628906
2010-03-26,41.70663833618164,55.765193939208984
2010-03-29,41.90647506713867,55.552059173583984
2010-03-30,42.04548263549805,55.727630615234375
2010-03-31,41.84566879272461,56.110050201416016
2010-04-01,41.84566879272461,55.972835540771484
2010-04-05,42.23666763305664,55.041542053222656
2010-04-06,42.358306884765625,55.12963104248047
2010-04-07,42.25405502319336,55.834381103515625
2010-04-08,42.349609375,55.85955810546875
2010-04-09,42.601593017578125,55.991756439208984
2010-04-12,42.636348724365234,56.2874755859375
2010-04-13,42.85356140136719,56.469966888427734
2010-04-14,43.36621856689453,56.07353973388672
2010-04-15,43.5573844909668,56.13644790649414
